Area_ID,Area_Name,2011_VN,2012_VN,2013_VN,2014_VN,2015_VN,2016_VN,2017_VN,2018_VN,2019_VN,2020_VN,2021_VN,2022_VN,2023_VN,2024_VN
1,Hà Nội,6825.816,6991.432,7128.385,7285.534,7433.6,7590.8,7742.2,7914.5,8093.9,8246.539527,8330.834173,8435.652,8587.080954,8717.629327
2,Vĩnh Phúc,1029.503,1047.394,1061.5,1076.824,1090.4,1106.1,1123.1,1138.4,1154.8,1171.2,1191.781845,1197.617,1211.345958,1225.29
3,Bắc Ninh,1072.378,1104.687,1139.887,1177.058,1218.5,1257.9,1297.8,1337.3,1378.6,1419.126,1462.945,1488.2,1517.440925,1546.592629
4,Quảng Ninh,1181.534,1198.393,1209.582,1227.668,1241.6,1261.2,1285.2,1303.9,1324.8,1337.605,1350.8506,1362.876,1381.167268,1396.524689
5,Hải Dương,1747.828,1767.829,1779.674,1795.786,1812.8,1832.8,1850.6,1877.7,1896.9,1916.774,1936.775,1946.82,1956.888,1978.230363
6,Hải Phòng,1886.198,1912.938,1932.169,1950.71,1969.5,1985.3,2001.4,2016.4,2033.3,2053.492634,2072.387976,2088.022,2105.026,2124.520941
7,Hưng Yên,1150.741,1162.907,1175.516,1188.648,1202,1215.5,1228.8,1242.4,1255.8,1269.09,1284.551974,1290.852,1301.0135,1318.06
8,Thái Bình,1798.664,1806.484,1815.038,1822.429,1830.3,1838.1,1846.1,1854.1,1862.2,1870.240261,1875.663,1878.538,1882.335,1890.375888
9,Hà Nam,795.648,800.81,807.437,815.074,824.3,832.2,839.8,847.1,854.5,861.8319795,875.215955,878,885.9143804,894.215
10,Nam Định,1816.81,1811.5,1806.412,1801.543,1796.9,1792.5,1788.2,1784.2,1780.9,1780.333399,1836.268,1876.854,1887.099364,1894.204
11,Ninh Bình,911.688,920.985,930.033,939.311,948.5,956.8,965.4,974.7,984.5,993.9197193,1007.569551,1010.7,1017.1034,1030.341
12,Hà Giang,749.537,763.503,778.958,792.472,806.7,820.4,833.7,846.5,858.1,870.2395438,887.086,892.723,899.9002879,911.354618
13,Cao Bằng,514.015,515.879,517.846,519.868,522,524.2,526.4,528.7,530.9,533.085238,542.217,543.052,547.8574275,558.461
14,Bắc Kạn,298.688,300.803,301.732,302.942,305.6,307.7,309.9,312,314.4,316.4630051,323.7118383,324.353,326.5041609,329.312
15,Tuyên Quang,733.595,738.529,743.37,749.588,756.2,763.4,770.5,778.3,786.3,792.8997238,801.668,805.782,812.2149762,820.3048369
16,Lào Cai,638.147,649.506,661.002,672.636,684.5,696.5,708.6,720.8,733.3,746.3551322,761.89,770.589,779.9193138,792.2086296
17,Yên Bái,758.647,765.688,774.583,783.534,793.1,800.3,807.3,814.6,823,831.586,842.671,847.245,855.52942,864.381603
18,Thái Nguyên,1139.444,1149.083,1155.991,1198.172,1230.8,1242.8,1256.1,1273.6,1290.9,1307.87065,1323.15,1335.987,1350.345001,1365.198398
19,Lạng Sơn,740.912,745.13,748.943,752.591,757.8,763.4,768.7,775.9,782.8,788.7061122,796.939,802.09,807.314999,813.992
20,Bắc Giang,1586.023,1607.772,1630.648,1646.86,1667,1696.9,1736.8,1777.5,1810.4,1841.624043,1875.238309,1890.925,1922.739527,1962.595471
21,Phú Thọ,1329.342,1340.813,1355.241,1373.673,1392.3,1409,1430.5,1449.6,1466.4,1481.883579,1507.539,1516.921,1530.846903,1543.879
